trn_site,test_site,share_encoder,no_mode,int_mode,threshold,s_l,value
Site_23,Site_5,True,False,False,2.0,s,0.3833877444267273
Site_23,Site_5,True,False,False,2.0,l,
Site_23,Site_5,True,False,False,3.0,s,0.39609917998313904
Site_23,Site_5,True,False,False,3.0,l,
Site_23,Site_5,True,False,False,4.0,s,0.4009278416633606
Site_23,Site_5,True,False,False,4.0,l,
Site_23,Site_5,True,False,False,5.0,s,
Site_23,Site_5,True,False,False,5.0,l,
Site_24,Site_1,False,True,False,0.5,s,0.23178377747535706
Site_24,Site_1,False,True,False,0.5,l,0.3873112201690674
Site_24,Site_1,False,True,False,1.0,s,0.1857837289571762
Site_24,Site_1,False,True,False,1.0,l,0.26434075832366943
Site_24,Site_1,False,True,False,2.0,s,0.13674089312553406
Site_24,Site_1,False,True,False,2.0,l,0.19255013763904572
Site_24,Site_1,False,True,False,3.0,s,0.12209201604127884
Site_24,Site_1,False,True,False,3.0,l,0.1788175255060196
Site_24,Site_1,False,True,False,4.0,s,0.10475215315818787
Site_24,Site_1,False,True,False,4.0,l,0.16850274801254272
Site_24,Site_1,False,True,False,5.0,s,0.09123996645212173
Site_24,Site_1,False,True,False,5.0,l,0.16273903846740723
Site_26,Site_23,True,False,True,0.5,s,1.4322973489761353
Site_26,Site_23,True,False,True,0.5,l,1.0096254348754883
Site_26,Site_23,True,False,True,1.0,s,0.776862621307373
Site_26,Site_23,True,False,True,1.0,l,0.9878520369529724
Site_26,Site_23,True,False,True,2.0,s,0.6257786154747009
Site_26,Site_23,True,False,True,2.0,l,0.9853153228759766
Site_26,Site_23,True,False,True,3.0,s,0.6300013661384583
Site_26,Site_23,True,False,True,3.0,l,0.9893845915794373
Site_26,Site_23,True,False,True,4.0,s,0.6150563955307007
Site_26,Site_23,True,False,True,4.0,l,0.993075430393219
Site_26,Site_23,True,False,True,5.0,s,0.5863699316978455
Site_26,Site_23,True,False,True,5.0,l,0.9950185418128967
Site_24,Site_25,False,False,True,0.5,s,0.2953241467475891
Site_24,Site_25,False,False,True,0.5,l,0.3381536900997162
Site_24,Site_25,False,False,True,1.0,s,0.28081411123275757
Site_24,Site_25,False,False,True,1.0,l,0.27000293135643005
Site_24,Site_25,False,False,True,2.0,s,0.2663988769054413
Site_24,Site_25,False,False,True,2.0,l,0.15367725491523743
Site_24,Site_25,False,False,True,3.0,s,0.21293674409389496
Site_24,Site_25,False,False,True,3.0,l,0.11048077046871185
Site_24,Site_25,False,False,True,4.0,s,0.1390327364206314
Site_24,Site_25,False,False,True,4.0,l,0.11493640393018723
Site_24,Site_25,False,False,True,5.0,s,0.09773541241884232
Site_24,Site_25,False,False,True,5.0,l,0.1633821576833725
Site_5,Site_24,True,False,True,0.5,s,0.7027240991592407
Site_5,Site_24,True,False,True,0.5,l,0.8675860166549683
Site_5,Site_24,True,False,True,1.0,s,0.6919986605644226
Site_5,Site_24,True,False,True,1.0,l,0.8723573684692383
Site_5,Site_24,True,False,True,2.0,s,0.6773456335067749
Site_5,Site_24,True,False,True,2.0,l,0.9023042321205139
Site_5,Site_24,True,False,True,3.0,s,0.7462426424026489
Site_5,Site_24,True,False,True,3.0,l,0.9729035496711731
Site_5,Site_24,True,False,True,4.0,s,0.7922361493110657
Site_5,Site_24,True,False,True,4.0,l,0.9922431111335754
Site_5,Site_24,True,False,True,5.0,s,0.8369278907775879
Site_5,Site_24,True,False,True,5.0,l,0.9974406361579895
Site_25,Site_23,True,False,True,0.5,s,0.2900298535823822
Site_25,Site_23,True,False,True,0.5,l,0.15049095451831818
Site_25,Site_23,True,False,True,1.0,s,0.2576753795146942
Site_25,Site_23,True,False,True,1.0,l,0.11859893798828125
Site_25,Site_23,True,False,True,2.0,s,0.2281302958726883
Site_25,Site_23,True,False,True,2.0,l,0.10576284676790237
Site_25,Site_23,True,False,True,3.0,s,0.19625531136989594
Site_25,Site_23,True,False,True,3.0,l,0.09697582572698593
Site_25,Site_23,True,False,True,4.0,s,0.16544519364833832
Site_25,Site_23,True,False,True,4.0,l,0.1482873260974884
Site_25,Site_23,True,False,True,5.0,s,0.13045205175876617
Site_25,Site_23,True,False,True,5.0,l,0.1978175938129425
Site_23,Site_1,False,False,True,0.5,s,0.1232089251279831
Site_23,Site_1,False,False,True,0.5,l,0.24300448596477509
Site_23,Site_1,False,False,True,1.0,s,0.1124454140663147
Site_23,Site_1,False,False,True,1.0,l,0.12649685144424438
Site_23,Site_1,False,False,True,2.0,s,0.09407162666320801
Site_23,Site_1,False,False,True,2.0,l,0.10382674634456635
Site_23,Site_1,False,False,True,3.0,s,0.08528266847133636
Site_23,Site_1,False,False,True,3.0,l,0.09736084192991257
Site_23,Site_1,False,False,True,4.0,s,0.09157875925302505
Site_23,Site_1,False,False,True,4.0,l,0.08662945032119751
Site_23,Site_1,False,False,True,5.0,s,0.09477347880601883
Site_23,Site_1,False,False,True,5.0,l,0.08650725334882736
Site_1,Site_5,False,False,True,0.5,s,0.14364565908908844
Site_1,Site_5,False,False,True,0.5,l,0.6219925880432129
Site_1,Site_5,False,False,True,1.0,s,0.1399610936641693
Site_1,Site_5,False,False,True,1.0,l,0.44189518690109253
Site_1,Site_5,False,False,True,2.0,s,0.12182608246803284
Site_1,Site_5,False,False,True,2.0,l,
Site_1,Site_5,False,False,True,3.0,s,0.11355538666248322
Site_1,Site_5,False,False,True,3.0,l,
Site_1,Site_5,False,False,True,4.0,s,0.09731689840555191
Site_1,Site_5,False,False,True,4.0,l,
Site_1,Site_5,False,False,True,5.0,s,
Site_1,Site_5,False,False,True,5.0,l,
Site_5,Site_24,False,False,True,0.5,s,0.7156563401222229
Site_5,Site_24,False,False,True,0.5,l,0.8010268211364746
Site_5,Site_24,False,False,True,1.0,s,0.7054268717765808
Site_5,Site_24,False,False,True,1.0,l,0.8002135753631592
Site_5,Site_24,False,False,True,2.0,s,0.7024171352386475
Site_5,Site_24,False,False,True,2.0,l,0.8824799060821533
Site_5,Site_24,False,False,True,3.0,s,0.7778825163841248
Site_5,Site_24,False,False,True,3.0,l,0.9779438376426697
Site_5,Site_24,False,False,True,4.0,s,0.8220446705818176
Site_5,Site_24,False,False,True,4.0,l,1.0026718378067017
Site_5,Site_24,False,False,True,5.0,s,0.8637364506721497
Site_5,Site_24,False,False,True,5.0,l,1.0092790126800537
Site_23,Site_5,False,False,False,0.5,s,0.27700743079185486
Site_23,Site_5,False,False,False,0.5,l,0.9969590306282043
Site_23,Site_5,False,False,False,1.0,s,0.274338960647583
Site_23,Site_5,False,False,False,1.0,l,0.9975835084915161
Site_23,Site_5,False,False,False,2.0,s,0.31042203307151794
Site_23,Site_5,False,False,False,2.0,l,
Site_23,Site_5,False,False,False,3.0,s,0.3321135938167572
Site_23,Site_5,False,False,False,3.0,l,
Site_23,Site_5,False,False,False,4.0,s,0.355171799659729
Site_23,Site_5,False,False,False,4.0,l,
Site_23,Site_5,False,False,False,5.0,s,
Site_23,Site_5,False,False,False,5.0,l,
Site_5,Site_24,False,False,False,0.5,s,0.8251279592514038
Site_5,Site_24,False,False,False,0.5,l,0.8717306852340698
Site_5,Site_24,False,False,False,1.0,s,0.8228459358215332
