trn_site,test_site,threshold,s_l,value
Site_25,Site_23,1.0,s,0.20378613471984863
Site_25,Site_23,1.0,l,0.28726881742477417
Site_25,Site_23,2.0,s,0.18354444205760956
Site_25,Site_23,2.0,l,0.19377706944942474
Site_25,Site_23,3.0,s,0.16651850938796997
Site_25,Site_23,3.0,l,0.12585875391960144
Site_25,Site_23,4.0,s,0.14469897747039795
Site_25,Site_23,4.0,l,0.10140720009803772
Site_25,Site_23,5.0,s,0.11989953368902206
Site_25,Site_23,5.0,l,0.1431533247232437
Site_1,Site_5,1.0,s,0.14350125193595886
Site_1,Site_5,1.0,l,0.4117501974105835
Site_1,Site_5,2.0,s,0.15018370747566223
Site_1,Site_5,2.0,l,
Site_1,Site_5,3.0,s,0.15194937586784363
Site_1,Site_5,3.0,l,
Site_1,Site_5,4.0,s,0.14658792316913605
Site_1,Site_5,4.0,l,
Site_1,Site_5,5.0,s,
Site_1,Site_5,5.0,l,
Site_23,Site_24,1.0,s,0.17015688121318817
Site_23,Site_24,1.0,l,0.31873705983161926
Site_23,Site_24,2.0,s,0.1473892331123352
Site_23,Site_24,2.0,l,0.2155662328004837
Site_23,Site_24,3.0,s,0.13846974074840546
Site_23,Site_24,3.0,l,0.2127479612827301
Site_23,Site_24,4.0,s,0.1375690996646881
Site_23,Site_24,4.0,l,0.21648767590522766
Site_23,Site_24,5.0,s,0.14086434245109558
Site_23,Site_24,5.0,l,0.226493701338768
Site_26,Site_5,1.0,s,0.5889493823051453
Site_26,Site_5,1.0,l,1.0708976984024048
Site_26,Site_5,2.0,s,0.6398879289627075
Site_26,Site_5,2.0,l,
Site_26,Site_5,3.0,s,0.6752548813819885
Site_26,Site_5,3.0,l,
Site_26,Site_5,4.0,s,0.7303270697593689
Site_26,Site_5,4.0,l,
Site_26,Site_5,5.0,s,
Site_26,Site_5,5.0,l,
Site_24,Site_1,1.0,s,0.1769288182258606
Site_24,Site_1,1.0,l,0.2340736985206604
Site_24,Site_1,2.0,s,0.13131237030029297
Site_24,Site_1,2.0,l,0.13771302998065948
Site_24,Site_1,3.0,s,0.11767569184303284
Site_24,Site_1,3.0,l,0.1117912158370018
Site_24,Site_1,4.0,s,0.1109316274523735
Site_24,Site_1,4.0,l,0.09292204678058624
Site_24,Site_1,5.0,s,0.10262107104063034
Site_24,Site_1,5.0,l,0.07879183441400528
Site_5,Site_26,1.0,s,0.8234214782714844
Site_5,Site_26,1.0,l,0.9853108525276184
Site_5,Site_26,2.0,s,0.837786078453064
Site_5,Site_26,2.0,l,0.9877065420150757
Site_5,Site_26,3.0,s,0.8393181562423706
Site_5,Site_26,3.0,l,
Site_5,Site_26,4.0,s,0.8380610942840576
Site_5,Site_26,4.0,l,
Site_5,Site_26,5.0,s,0.8429386615753174
Site_5,Site_26,5.0,l,
Site_26,Site_25,1.0,s,0.960874617099762
Site_26,Site_25,1.0,l,1.0140576362609863
Site_26,Site_25,2.0,s,0.732639491558075
Site_26,Site_25,2.0,l,1.0021467208862305
Site_26,Site_25,3.0,s,0.6146798729896545
Site_26,Site_25,3.0,l,1.0011838674545288
Site_26,Site_25,4.0,s,0.5450325012207031
Site_26,Site_25,4.0,l,1.000546932220459
Site_26,Site_25,5.0,s,0.5163573026657104
Site_26,Site_25,5.0,l,0.9998264908790588
Site_25,Site_1,1.0,s,0.13463933765888214
Site_25,Site_1,1.0,l,0.21528595685958862
Site_25,Site_1,2.0,s,0.11335674673318863
Site_25,Site_1,2.0,l,0.1609036773443222
Site_25,Site_1,3.0,s,0.09121420234441757
Site_25,Site_1,3.0,l,0.1468866765499115
Site_25,Site_1,4.0,s,0.0773855671286583
Site_25,Site_1,4.0,l,0.14040693640708923
Site_25,Site_1,5.0,s,0.06881402432918549
Site_25,Site_1,5.0,l,0.16090460121631622
Site_25,Site_26,1.0,s,0.35824084281921387
Site_25,Site_26,1.0,l,1.0025080442428589
Site_25,Site_26,2.0,s,0.3098698556423187
Site_25,Site_26,2.0,l,0.9737671613693237
Site_25,Site_26,3.0,s,0.309138685464859
Site_25,Site_26,3.0,l,
Site_25,Site_26,4.0,s,0.32384052872657776
Site_25,Site_26,4.0,l,
Site_25,Site_26,5.0,s,0.3314938545227051
Site_25,Site_26,5.0,l,
Site_25,Site_26,1.0,s,0.3581847846508026
Site_25,Site_26,1.0,l,0.9787377119064331
Site_25,Site_26,2.0,s,0.32877784967422485
Site_25,Site_26,2.0,l,0.9892216920852661
Site_25,Site_26,3.0,s,0.3347542881965637
Site_25,Site_26,3.0,l,
Site_25,Site_26,4.0,s,0.3510954976081848
Site_25,Site_26,4.0,l,
Site_25,Site_26,5.0,s,0.3605569303035736
Site_25,Site_26,5.0,l,
Site_1,Site_25,1.0,s,0.16084492206573486
Site_1,Site_25,1.0,l,0.2806204557418823
Site_1,Site_25,2.0,s,0.14777600765228271
Site_1,Site_25,2.0,l,0.16804780066013336
Site_1,Site_25,3.0,s,0.16767504811286926
Site_1,Site_25,3.0,l,0.12172555178403854
Site_1,Site_25,4.0,s,0.18912255764007568
Site_1,Site_25,4.0,l,0.09726861119270325
Site_1,Site_25,5.0,s,0.19894807040691376
Site_1,Site_25,5.0,l,0.10006652772426605
Site_1,Site_23,1.0,s,0.16685430705547333
Site_1,Site_23,1.0,l,0.21530477702617645
Site_1,Site_23,2.0,s,0.137674480676651
Site_1,Site_23,2.0,l,0.17266182601451874
Site_1,Site_23,3.0,s,0.10899196565151215
Site_1,Site_23,3.0,l,0.13401049375534058
Site_1,Site_23,4.0,s,0.08968950062990189
Site_1,Site_23,4.0,l,0.11100540310144424
Site_1,Site_23,5.0,s,0.1006736010313034
Site_1,Site_23,5.0,l,0.08806691318750381
Site_26,Site_1,1.0,s,0.6348814368247986
Site_26,Site_1,1.0,l,1.0112344026565552
Site_26,Site_1,2.0,s,0.5039358735084534
Site_26,Site_1,2.0,l,1.005786418914795
Site_26,Site_1,3.0,s,0.4251570701599121
Site_26,Site_1,3.0,l,1.0012319087982178
Site_26,Site_1,4.0,s,0.4394623339176178
Site_26,Site_1,4.0,l,0.9994315505027771
Site_26,Site_1,5.0,s,0.4086169898509979
Site_26,Site_1,5.0,l,0.9969828724861145
Site_23,Site_25,1.0,s,0.17068816721439362
Site_23,Site_25,1.0,l,0.24993838369846344
Site_23,Site_25,2.0,s,0.13443918526172638
Site_23,Site_25,2.0,l,0.14937211573123932
Site_23,Site_25,3.0,s,0.1320124864578247
Site_23,Site_25,3.0,l,0.11387709528207779
Site_23,Site_25,4.0,s,0.1445769965648651
Site_23,Site_25,4.0,l,0.08507738262414932
Site_23,Site_25,5.0,s,0.1484309881925583
Site_23,Site_25,5.0,l,0.08876962959766388
Site_26,Site_1,1.0,s,0.6688397526741028
Site_26,Site_1,1.0,l,1.0170493125915527
Site_26,Site_1,2.0,s,0.5989693403244019
Site_26,Site_1,2.0,l,1.01089608669281
Site_26,Site_1,3.0,s,0.5405899882316589
Site_26,Site_1,3.0,l,1.0097252130508423
Site_26,Site_1,4.0,s,0.5809439420700073
Site_26,Site_1,4.0,l,1.0090569257736206
Site_26,Site_1,5.0,s,0.5748242735862732
Site_26,Site_1,5.0,l,1.008362054824829
Site_24,Site_25,1.0,s,0.3164830505847931
Site_24,Site_25,1.0,l,0.2244294285774231
Site_24,Site_25,2.0,s,0.23501873016357422
Site_24,Site_25,2.0,l,0.18548300862312317
Site_24,Site_25,3.0,s,0.19163116812705994
Site_24,Site_25,3.0,l,0.17880947887897491
Site_24,Site_25,4.0,s,0.15108750760555267
Site_24,Site_25,4.0,l,0.17137378454208374
Site_24,Site_25,5.0,s,0.11989806592464447
Site_24,Site_25,5.0,l,0.19714586436748505
Site_24,Site_25,1.0,s,0.2590502202510834
Site_24,Site_25,1.0,l,0.2100377082824707
Site_24,Site_25,2.0,s,0.179245725274086
Site_24,Site_25,2.0,l,0.20156587660312653
Site_24,Site_25,3.0,s,0.1308242529630661
Site_24,Site_25,3.0,l,0.20001734793186188
Site_24,Site_25,4.0,s,0.11117355525493622
Site_24,Site_25,4.0,l,0.19531632959842682
Site_24,Site_25,5.0,s,0.11061924695968628
Site_24,Site_25,5.0,l,0.22435779869556427
Site_23,Site_5,1.0,s,0.274338960647583
Site_23,Site_5,1.0,l,0.9975835084915161
Site_23,Site_5,2.0,s,0.31042203307151794
Site_23,Site_5,2.0,l,
Site_23,Site_5,3.0,s,0.3321135938167572
Site_23,Site_5,3.0,l,
Site_23,Site_5,4.0,s,0.355171799659729
Site_23,Site_5,4.0,l,
Site_23,Site_5,5.0,s,
Site_23,Site_5,5.0,l,
Site_26,Site_24,1.0,s,0.5182583928108215
Site_26,Site_24,1.0,l,1.0039206743240356
Site_26,Site_24,2.0,s,0.4841475188732147
Site_26,Site_24,2.0,l,0.9997715353965759
Site_26,Site_24,3.0,s,0.4667282998561859
Site_26,Site_24,3.0,l,1.0006755590438843
Site_26,Site_24,4.0,s,0.44891732931137085
Site_26,Site_24,4.0,l,1.000937581062317
Site_26,Site_24,5.0,s,0.4143199920654297
Site_26,Site_24,5.0,l,1.0009139776229858
Site_24,Site_5,1.0,s,0.13034041225910187
Site_24,Site_5,1.0,l,0.16492263972759247
Site_24,Site_5,2.0,s,0.11068858206272125
Site_24,Site_5,2.0,l,
Site_24,Site_5,3.0,s,0.10649247467517853
Site_24,Site_5,3.0,l,
Site_24,Site_5,4.0,s,0.08045609295368195
Site_24,Site_5,4.0,l,
Site_24,Site_5,5.0,s,
Site_24,Site_5,5.0,l,
Site_26,Site_24,1.0,s,0.599557101726532
Site_26,Site_24,1.0,l,1.0993119478225708
Site_26,Site_24,2.0,s,0.5544820427894592
Site_26,Site_24,2.0,l,1.0709701776504517
Site_26,Site_24,3.0,s,0.5234355330467224
Site_26,Site_24,3.0,l,1.0527759790420532
Site_26,Site_24,4.0,s,0.4840394854545593
Site_26,Site_24,4.0,l,1.0436064004898071
Site_26,Site_24,5.0,s,0.4283871650695801
Site_26,Site_24,5.0,l,1.0390115976333618
Site_1,Site_26,1.0,s,0.33534228801727295
Site_1,Site_26,1.0,l,1.0098073482513428
Site_1,Site_26,2.0,s,0.31869933009147644
Site_1,Site_26,2.0,l,1.0029345750808716
Site_1,Site_26,3.0,s,0.34362009167671204
Site_1,Site_26,3.0,l,
Site_1,Site_26,4.0,s,0.3753662109375
Site_1,Site_26,4.0,l,
Site_1,Site_26,5.0,s,0.3890492618083954
Site_1,Site_26,5.0,l,
Site_5,Site_23,1.0,s,0.5942923426628113
Site_5,Site_23,1.0,l,1.008901834487915
Site_5,Site_23,2.0,s,0.6041926145553589
Site_5,Site_23,2.0,l,1.0046197175979614
Site_5,Site_23,3.0,s,0.626732587814331
Site_5,Site_23,3.0,l,1.000900149345398
Site_5,Site_23,4.0,s,0.6823386549949646
Site_5,Site_23,4.0,l,0.9980877041816711
Site_5,Site_23,5.0,s,0.7428642511367798
Site_5,Site_23,5.0,l,0.9979832172393799
Site_23,Site_1,1.0,s,0.14620663225650787
Site_23,Site_1,1.0,l,0.22002655267715454
Site_23,Site_1,2.0,s,0.11080125719308853
Site_23,Site_1,2.0,l,0.13419656455516815
Site_23,Site_1,3.0,s,0.10277402400970459
Site_23,Site_1,3.0,l,0.11758384108543396
Site_23,Site_1,4.0,s,0.0980955958366394
Site_23,Site_1,4.0,l,0.10272686928510666
Site_23,Site_1,5.0,s,0.08793243020772934
Site_23,Site_1,5.0,l,0.11227068305015564
Site_24,Site_5,1.0,s,0.11731424927711487
Site_24,Site_5,1.0,l,0.36339324712753296
Site_24,Site_5,2.0,s,0.08503323793411255
Site_24,Site_5,2.0,l,
Site_24,Site_5,3.0,s,0.07627924531698227
Site_24,Site_5,3.0,l,
Site_24,Site_5,4.0,s,0.07115276902914047
Site_24,Site_5,4.0,l,
Site_24,Site_5,5.0,s,
Site_24,Site_5,5.0,l,
Site_23,Site_1,1.0,s,0.1450192630290985
Site_23,Site_1,1.0,l,0.22284144163131714
Site_23,Site_1,2.0,s,0.11077223718166351
Site_23,Site_1,2.0,l,0.14255674183368683
Site_23,Site_1,3.0,s,0.09554383158683777
Site_23,Site_1,3.0,l,0.1147189810872078
Site_23,Site_1,4.0,s,0.08772537857294083
Site_23,Site_1,4.0,l,0.0949404239654541
Site_23,Site_1,5.0,s,0.08076656609773636
Site_23,Site_1,5.0,l,0.08634430915117264
Site_24,Site_26,1.0,s,0.2648696303367615
Site_24,Site_26,1.0,l,1.0051261186599731
Site_24,Site_26,2.0,s,0.23950234055519104
Site_24,Site_26,2.0,l,0.9955096244812012
Site_24,Site_26,3.0,s,0.22982054948806763
Site_24,Site_26,3.0,l,
Site_24,Site_26,4.0,s,0.22898678481578827
Site_24,Site_26,4.0,l,
Site_24,Site_26,5.0,s,0.2293602079153061
Site_24,Site_26,5.0,l,
Site_23,Site_26,1.0,s,0.3977319002151489
Site_23,Site_26,1.0,l,0.9641045331954956
Site_23,Site_26,2.0,s,0.326657235622406
Site_23,Site_26,2.0,l,0.99583899974823
Site_23,Site_26,3.0,s,0.3314231336116791
Site_23,Site_26,3.0,l,
Site_23,Site_26,4.0,s,0.3487972617149353
Site_23,Site_26,4.0,l,
Site_23,Site_26,5.0,s,0.35893064737319946
Site_23,Site_26,5.0,l,
Site_5,Site_1,1.0,s,0.5800350308418274
Site_5,Site_1,1.0,l,1.049767017364502
Site_5,Site_1,2.0,s,0.56315016746521
Site_5,Site_1,2.0,l,1.0184063911437988
Site_5,Site_1,3.0,s,0.5714226365089417
Site_5,Site_1,3.0,l,1.0084565877914429
Site_5,Site_1,4.0,s,0.6259644627571106
Site_5,Site_1,4.0,l,1.0046321153640747
Site_5,Site_1,5.0,s,0.653619110584259
Site_5,Site_1,5.0,l,1.0019333362579346
Site_1,Site_23,1.0,s,0.12786094844341278
Site_1,Site_23,1.0,l,0.21454492211341858
Site_1,Site_23,2.0,s,0.10708393901586533
Site_1,Site_23,2.0,l,0.1652982532978058
Site_1,Site_23,3.0,s,0.09219677001237869
Site_1,Site_23,3.0,l,0.14654235541820526
Site_1,Site_23,4.0,s,0.09375756978988647
Site_1,Site_23,4.0,l,0.15232065320014954
Site_1,Site_23,5.0,s,0.10966478288173676
Site_1,Site_23,5.0,l,0.16311699151992798
Site_25,Site_24,1.0,s,0.12010182440280914
Site_25,Site_24,1.0,l,0.23569557070732117
Site_25,Site_24,2.0,s,0.10338849574327469
Site_25,Site_24,2.0,l,0.1982477903366089
Site_25,Site_24,3.0,s,0.09509110450744629
Site_25,Site_24,3.0,l,0.2221766859292984
Site_25,Site_24,4.0,s,0.08772778511047363
Site_25,Site_24,4.0,l,0.24600079655647278
Site_25,Site_24,5.0,s,0.08268412947654724
Site_25,Site_24,5.0,l,0.2708839774131775
Site_5,Site_24,1.0,s,0.8327887058258057
Site_5,Site_24,1.0,l,0.8598311543464661
Site_5,Site_24,2.0,s,0.8441711068153381
Site_5,Site_24,2.0,l,0.9054821133613586
Site_5,Site_24,3.0,s,0.8735626935958862
Site_5,Site_24,3.0,l,0.9412376880645752
Site_5,Site_24,4.0,s,0.8861352801322937
Site_5,Site_24,4.0,l,0.955716609954834
Site_5,Site_24,5.0,s,0.894497275352478
Site_5,Site_24,5.0,l,0.9623229503631592
Site_5,Site_26,1.0,s,0.9350997805595398
Site_5,Site_26,1.0,l,1.040992021560669
Site_5,Site_26,2.0,s,0.8977078199386597
Site_5,Site_26,2.0,l,1.0302762985229492
Site_5,Site_26,3.0,s,0.8743951320648193
Site_5,Site_26,3.0,l,
Site_5,Site_26,4.0,s,0.8583171367645264
Site_5,Site_26,4.0,l,
Site_5,Site_26,5.0,s,0.8620405197143555
Site_5,Site_26,5.0,l,
Site_26,Site_23,1.0,s,0.6133850812911987
Site_26,Site_23,1.0,l,0.9958115220069885
Site_26,Site_23,2.0,s,0.5614615082740784
Site_26,Site_23,2.0,l,0.9980601072311401
Site_26,Site_23,3.0,s,0.562888503074646
Site_26,Site_23,3.0,l,1.0006195306777954
Site_26,Site_23,4.0,s,0.562995195388794
Site_26,Site_23,4.0,l,1.0043164491653442
Site_26,Site_23,5.0,s,0.5591779947280884
Site_26,Site_23,5.0,l,1.004548192024231
Site_25,Site_24,1.0,s,0.13821455836296082
Site_25,Site_24,1.0,l,0.24133175611495972
Site_25,Site_24,2.0,s,0.11945180594921112
Site_25,Site_24,2.0,l,0.1985015720129013
Site_25,Site_24,3.0,s,0.11170916259288788
Site_25,Site_24,3.0,l,0.2193889617919922
Site_25,Site_24,4.0,s,0.10904786735773087
Site_25,Site_24,4.0,l,0.2368089109659195
Site_25,Site_24,5.0,s,0.10934484750032425
Site_25,Site_24,5.0,l,0.25942885875701904
Site_1,Site_26,1.0,s,0.3213525116443634
Site_1,Site_26,1.0,l,1.0033525228500366
Site_1,Site_26,2.0,s,0.31464430689811707
Site_1,Site_26,2.0,l,1.0001575946807861
Site_1,Site_26,3.0,s,0.3322831094264984
Site_1,Site_26,3.0,l,
Site_1,Site_26,4.0,s,0.3624064028263092
Site_1,Site_26,4.0,l,
Site_1,Site_26,5.0,s,0.37554773688316345
Site_1,Site_26,5.0,l,
Site_24,Site_23,1.0,s,0.2986193597316742
Site_24,Site_23,1.0,l,0.22956742346286774
Site_24,Site_23,2.0,s,0.27672070264816284
Site_24,Site_23,2.0,l,0.18579943478107452
